581.1,1322.1,1
646.31,1134.1,1
630.19,1506.4,1
500,1500,1
646.57,1654.1,1
500,1500,1
629.22,1240.6,1
722.43,1095.1,1
733.31,1305.6,1
559.03,2350.2,1
622.19,1497,1
681.32,1229.2,1
377.94,1716.8,1
639.06,1307.6,1
583.63,1883.7,1
684.24,1366.6,1
760.62,1327.5,1
764.29,1328.6,1
628.75,1416.4,1
596.66,1656.2,1
1431.5,1824.1,1
674.8,1504.1,1
500,1500,1
500,1500,1
1151.1,2281.3,1
684.51,1007,1
633.44,1525.5,1
702.64,1345,1
548.09,1622.9,1
500,1500,1
599.11,1219.7,1
770.16,1211.6,1
579.42,1451.3,1
500,1500,1
500,1500,1
500,1500,1
724.82,1372.2,1
302.94,1343,1
500,1500,1
854.13,1383.6,1
243.35,952.89,1
681,1316.4,1
500,1500,1
453.24,1406.8,1
732.16,1303.2,1
776.74,1308.9,1
500,1500,1
602.55,1365.2,1
920.6,1353.4,1
721.32,1246.4,1
500,1500,1
605.9,1407.9,1
292.87,2354.9,1
544.62,1632.2,1
715.88,1319.1,1
657.76,1187.2,1
442.26,1335,1
500,1500,1
500,1500,1
640.71,1427,1
268.01,1394.9,1
417.56,1499.4,1
500,1500,1
608.41,1350.2,1
580.94,1201.8,1
515.06,1575.9,1
456.28,1896.5,1
334.52,627.48,1
500,1500,1
583.06,1278.6,1
500,1500,1
764.4,1195.1,1
635.85,1314.8,1
599.23,1413.6,1
500,1500,1
636,1899.3,1
754.05,1318.8,1
556.82,1570.9,1
729.43,1365.1,1
500,1500,1
782.01,1300,1
687.55,1322.2,1
500,1500,1
491.87,1516.6,1
500,1500,1
629.89,1400.3,1
559.16,1193.3,1
576.6,1422.4,1
500,1500,1
500,1500,1
500,1500,1
362.1,1536.7,1
608.17,1523.3,1
719.45,1321.4,1
500,1500,1
500,1500,1
500,1500,1
481.93,1399.1,1
771.05,1689.9,1
583.75,1431,1
772.45,1204.3,1
460.02,1677,1
625.67,1325.7,1
500,1500,1
500,1500,1
500,1500,1
500,1500,1
500,1500,1
396.89,1863,1
635.78,1204.8,1
590.53,1318.8,1
305.06,1550.9,1
607.58,1400.7,1
508.29,1891.2,1
770.32,1397.6,1
500,1500,1
500,1500,1
500,1500,1
583.29,1430.4,1
456.76,1715.2,1
278.06,1654.7,1
625.99,1399.1,1
1282.4,2065.8,1
1279.9,2589.4,1
500,1500,1
608.72,1110.8,1
483.91,1287.4,1
602.18,1404.2,1
505.96,1854.7,1
543.29,1683.9,1
276.3,942.31,1
494.26,1638.7,1
500,1500,1
656.03,1392.2,1
495.97,2186.1,1
507.47,1749.3,1
535.84,1486.3,1
550.76,1721.6,1
617.95,1593.7,1
697.31,1113,1
667,1303,1
476.92,1394.1,1
534.38,1231.6,1
680.57,1261.8,1
500,1500,1
671.09,1316.9,1
494.44,1694.8,1
795.12,1393.4,1
223.48,608.03,1
259.2,1259.8,1
636.87,1257,1
538.55,1292.4,1
456.28,1896.5,1
346.98,1321.8,1
629.48,1353.3,1
631.33,1236.7,1
488.79,1536.5,1
609.49,1269.8,1
1152.9,2434.3,1
707.95,1237,1
500,1500,1
500,1500,1
648.03,1171.8,1
500,1500,1
578.67,1235.2,1
614.58,1420.4,1
607.7,1872.8,1
782.35,1335.7,1
747.75,1254.7,1
513.84,1418.9,1
1113.7,1622.3,1
500,1500,1
681,1316.4,1
488.68,1560.5,1
547.32,1815,1
500,1500,1
495.97,2186.1,1
641.88,1314.5,1
558,1300.8,1
1047.2,1542.4,1
506.65,1476.6,1
402.56,1341,1
490,1190.8,1
763.78,1207.6,1
734.05,1363,1
401.44,1205.5,1
469.16,1153.2,1
507.84,1759.6,1
517.63,1310.4,1
500,1500,1
578.96,1323.5,1
300.63,1269.8,1
764.29,1328.6,1
500,1500,1
570.15,1488.9,1
639.33,1282.6,1
724.66,1288.1,1
518.09,1231.4,1
506.81,1260.2,1
663.71,1403.7,1
609.52,1443.3,1
505.96,1854.7,1
365.89,1249.4,1
505.96,1854.7,1
589.27,1628.7,1
517.58,900.42,1
427.6,1512.3,1
820.36,1215.3,1
459.89,1656.7,1
202.68,1048.4,1
500,1500,1
650.9,1308.9,1
315.71,1365.2,1
714.9,1298.3,1
650.99,1293.2,1
